Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Klebsiella pneumoniae
Antibiotic filter: Ciprofloxacin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
"MLI","Mali","African Region",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",297,31,13,41.935483871
"MLT","Malta","European Region",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",530,132,49,37.121212121
"MOZ","Mozambique","African Region",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",72,15,1,6.666666667
"NPL","Nepal","South-East Asia Region",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1515,420,196,46.666666667
"MKD","North Macedonia","European Region",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",293,118,88,74.576271186
"OMN","Oman","Eastern Mediterranean Region",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",876,224,143,63.839285714
"PAK","Pakistan","Eastern Mediterranean Region",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",5623,239,169,70.711297071
"PHL","Philippines","Western Pacific Region",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",4276,1110,562,50.630630631
"KOR","Republic of Korea","Western Pacific Region",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",4095,870,170,19.540229885
"RUS","Russian Federation","European Region",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1305,514,456,88.715953307
"SAU","Saudi Arabia","Eastern Mediterranean Region",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2458,777,493,63.449163449
"ZAF","South Africa","African Region",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",23840,7301,3418,46.815504725
"CHE","Switzerland","European Region",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",10256,1287,92,7.148407148
"THA","Thailand","South-East Asia Region",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",6159,1092,395,36.172161172
"TUN","Tunisia","Eastern Mediterranean Region",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",917,193,92,47.668393782
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2925,638,254,39.811912226
"ARG","Argentina","Region of the Americas",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",9243,2347,1009,42.991052407
"BHR","Bahrain","Eastern Mediterranean Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",677,216,133,61.574074074
"BIH","Bosnia and Herzegovina","European Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1457,279,184,65.949820789
"BRA","Brazil","Region of the Americas",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",953,291,112,38.487972509
"GEO","Georgia","European Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",666,186,126,67.741935484
"IND","India","South-East Asia Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",34056,6560,4766,72.652439024
"IDN","Indonesia","South-East Asia Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",3070,630,425,67.46031746
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2037,331,201,60.725075529
"JPN","Japan","Western Pacific Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",148205,17401,729,4.189414401
"JOR","Jordan","Eastern Mediterranean Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1611,42,20,47.619047619
"XKX","Kosovo","European Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",213,90,2,2.222222222
"LAO","Lao People's Democratic Republic","Western Pacific Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",340,78,19,24.358974359
"LBN","Lebanon","Eastern Mediterranean Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",315,72,21,29.166666667
"MLI","Mali","African Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",280,29,6,20.689655172
