Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Staphylococcus aureus
Antibiotic filter: Methicillin resistance

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
"CHE","Switzerland","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",10322,1036,45,4.343629344
"THA","Thailand","South-East Asia Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",6559,552,42,7.608695652
"TUN","Tunisia","Eastern Mediterranean Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",854,232,40,17.24137931
"ARE","United Arab Emirates","Eastern Mediterranean Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",3989,561,200,35.650623886
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",55018,2684,181,6.74366617
"ARG","Argentina","Region of the Americas",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",8366,1833,601,32.787779596
"AUT","Austria","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",9738,2014,78,3.872889772
"BIH","Bosnia and Herzegovina","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",1207,83,22,26.506024096
"BRA","Brazil","Region of the Americas",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",776,228,72,31.578947368
"HRV","Croatia","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",2333,26,14,53.846153846
"CYP","Cyprus","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",837,177,99,55.93220339
"CZE","Czechia","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",8099,2002,153,7.642357642
"EGY","Egypt","Eastern Mediterranean Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",383,108,75,69.444444444
"FIN","Finland","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",8202,1351,22,1.62842339
"GEO","Georgia","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",1007,113,32,28.318584071
"DEU","Germany","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",58337,2688,119,4.427083333
"GRC","Greece","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",5450,650,267,41.076923077
"IND","India","South-East Asia Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",43929,9245,5071,54.851270957
"IDN","Indonesia","South-East Asia Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",5596,992,349,35.181451613
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",2263,412,143,34.708737864
"IRL","Ireland","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",4957,1129,119,10.540301151
"ITA","Italy","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",52853,12243,3746,30.59707588
"JPN","Japan","Western Pacific Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",158356,29287,9925,33.888756103
"JOR","Jordan","Eastern Mediterranean Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",2027,59,45,76.271186441
"XKX","Kosovo","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",189,27,16,59.259259259
"LAO","Lao People's Democratic Republic","Western Pacific Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",461,34,19,55.882352941
"LVA","Latvia","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",845,287,11,3.832752613
"LBN","Lebanon","Eastern Mediterranean Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",1084,40,21,52.5
"LTU","Lithuania","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",2952,828,78,9.420289855
"MLI","Mali","African Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",286,44,6,13.636363636
"MLT","Malta","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",706,136,27,19.852941176
"MOZ","Mozambique","African Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",80,15,1,6.666666667
"NPL","Nepal","South-East Asia Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",2829,42,35,83.333333333
"NLD","Netherlands (Kingdom of the)","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",12954,1950,45,2.307692308
"MKD","North Macedonia","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",279,52,28,53.846153846
"PAK","Pakistan","Eastern Mediterranean Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",16099,2277,1527,67.061923584
"PHL","Philippines","Western Pacific Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",5937,925,411,44.432432432
"POL","Poland","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",6631,432,59,13.657407407
"KOR","Republic of Korea","Western Pacific Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",4484,735,336,45.714285714
"RUS","Russian Federation","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",4369,756,55,7.275132275
"SAU","Saudi Arabia","Eastern Mediterranean Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",1962,440,229,52.045454545
"ZAF","South Africa","African Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",24658,6092,1004,16.480630335
"SWE","Sweden","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",21788,7936,147,1.852318548
"CHE","Switzerland","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",11308,1056,43,4.071969697
"THA","Thailand","South-East Asia Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",9544,763,57,7.47051114
"TUN","Tunisia","Eastern Mediterranean Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",858,147,20,13.605442177
"ARE","United Arab Emirates","Eastern Mediterranean Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",4194,647,258,39.876352396
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2022,"BLOOD","Staphylococcus aureus","Methicillin resistance",57886,3356,267,7.955899881
"ARG","Argentina","Region of the Americas",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",9290,2257,806,35.711120957
"AUT","Austria","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",7874,1522,65,4.270696452
"BIH","Bosnia and Herzegovina","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",1271,116,33,28.448275862
"BRA","Brazil","Region of the Americas",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",3041,1095,301,27.488584475
"HRV","Croatia","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",2826,606,166,27.392739274
"CYP","Cyprus","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",784,83,44,53.012048193
"CZE","Czechia","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",7983,172,49,28.488372093
"EGY","Egypt","Eastern Mediterranean Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",919,18,16,88.888888889
"FIN","Finland","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",5584,253,1,0.395256917
"GEO","Georgia","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",898,165,44,26.666666667
"DEU","Germany","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",54645,1109,59,5.320108206
"GRC","Greece","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",6464,922,381,41.323210412
"IND","India","South-East Asia Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",41375,8373,4486,53.576973606
"IDN","Indonesia","South-East Asia Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",9180,1362,546,40.088105727
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",2925,669,230,34.379671151
"IRL","Ireland","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",4946,947,91,9.609292503
"ITA","Italy","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",53987,1412,416,29.461756374
"JPN","Japan","Western Pacific Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",169604,30226,9828,32.515053265
"JOR","Jordan","Eastern Mediterranean Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",3297,910,718,78.901098901
"XKX","Kosovo","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",164,34,19,55.882352941
"LAO","Lao People's Democratic Republic","Western Pacific Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",605,45,35,77.777777778
"LVA","Latvia","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",807,234,7,2.991452991
"LBN","Lebanon","Eastern Mediterranean Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",54,12,6,50
"LTU","Lithuania","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",3099,810,70,8.641975309
"MLI","Mali","African Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",275,50,4,8
"MLT","Malta","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",859,133,21,15.789473684
"MOZ","Mozambique","African Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",51,12,2,16.666666667
"NPL","Nepal","South-East Asia Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",2740,569,446,78.383128295
"NLD","Netherlands (Kingdom of the)","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",11748,1576,22,1.395939086
"MKD","North Macedonia","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",283,82,34,41.463414634
"PAK","Pakistan","Eastern Mediterranean Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",13338,354,252,71.186440678
"PHL","Philippines","Western Pacific Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",7705,2248,908,40.391459075
"POL","Poland","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",7277,144,22,15.277777778
"KOR","Republic of Korea","Western Pacific Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",5416,832,376,45.192307692
"RUS","Russian Federation","European Region",2023,"BLOOD","Staphylococcus aureus","Methicillin resistance",9671,1710,141,8.245614035
